,date,author,text,id
0,Apr 1,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·Apr 1Replying to @JacobPayne45, @IanStevens, and 1 moreSomething’s going down – so what’s all the excitement?ELECTION INTERFERENCE via BOGUS indictment!They clearly want to sow discord and create incitement,but Trump is strong, and they won’t even create a slight dent!I’m noticing that more and more people can see through this!It’s time to take our country back – we already knew this!But there are still some folks who remain totally clueless.Let’s get them all on board so WE can go out and do this!We are strong-we will not fall, & WWG1WGA915121",110124302632078510
1,Apr 1,FruitSnacks,"FruitSnacks @FruitSnacks·Apr 1Replying to @nicklabel, @JacobPayne45, and 2 more113",110124311320598932
2,Apr 1,FruitSnacks,"FruitSnacks @FruitSnacks·Apr 1Replying to @nicklabel, @FruitSnacks, and 3 more213106",110124312357614425
3,Apr 1,FruitSnacks,"FruitSnacks @FruitSnacks·Apr 1Replying to @nicklabel, @FruitSnacks, and 3 more614105",110124313513185373
4,Apr 1,YalePhD,"Yale PhD | #IStandWithTrump@YalePhD·Apr 1Replying to @nicklabel, @FruitSnacks, and 2 more1765",110124329638161947
5,Apr 1,Duphorn,"Duphorn@Duphorn·Apr 1Replying to @YalePhD, @FruitSnacks, and 2 more4635",110124370590938673
6,Apr 1,Lara45,"𝐿𝒶𝓇𝒶 | #IStandWithTrump@Lara45·Apr 1Replying to @Duphorn, @FruitSnacks, and 4 more2229",110124417683278561
7,Apr 2,Nowell1005,Nowell1005@Nowell1005·Apr 2Replying to @Lara45You don't even get the point.  You're just regurgitating shit because that's what you're programed to do.,110127829498791103
8,Apr 2,patrioticamerican12,"americanpatriot@patrioticamerican12·Apr 2Replying to @Lara45, @Duphorn, and 2 moreDONT BLOCK THIS BOT!  MUTE EM!",110130826870639282
9,Apr 1,richellelundin,"𝗍rᥙ𝗍һ.ᥕᥲrrі᥆r.⍴rіᥒᥴᥱss  @richellelundin·Apr 1Replying to @Lara45, @Duphorn, and 2 more3440",110124939489750484
10,Apr 1,autumnswind89,"Autumnswind89@autumnswind89·Apr 1Replying to @richellelundin, @Duphorn, and 3 more218",110125721153215326
11,Apr 2,glynn2006,"G.LYNN@glynn2006·Apr 2Replying to @richellelundin, @Duphorn, and 3 moreTry it in New York see How well it goes1",110129898155283406
12,Apr 4,Hockystick,"hockey stick@Hockystick·Apr 4Replying to @glynn2006, @Duphorn, and 4 moreTry what? Anything goes there.",110138589795463962
13,Apr 2,jesstertruth,"Jesster searching for truth@jesstertruth·Apr 2Replying to @richellelundin, @Duphorn, and 3 moreDry humping a flag for a photo op isn’t patriotism.1",110130692446836266
14,Apr 1,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 1Replying to @Lara455426,110125005269596364
15,Apr 1,janetmg,Janet@janetmg·Apr 1Replying to @starofthenorth2 and @Lara45They’re in the drug trafficking business no doubt.318,110125618871801520
16,Apr 1,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 1Replying to @janetmgAnything that makes them money5,110125629641876494
17,Apr 2,Charlton123,"Charlton123@Charlton123·Apr 2Replying to @janetmg, @Lara45, and 1 moreTrump is borrowing money from Russia and Saudi who have him in their pockets but that's OK?3",110129569821108878
18,Apr 2,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 2Replying to @Charlton123And who owns those banks?  Rothschilds and Rockefellers2,110129810337056717
19,Apr 2,Charlton123,Charlton123@Charlton123·Apr 2Replying to @starofthenorth2Owns Russia and Saudi banks?11,110129846545825604
20,Apr 2,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 2Replying to @Charlton123I heard they are going to brics now ,110130008239236642
21,Apr 3,Charlton123,Charlton123@Charlton123·Apr 3Replying to @starofthenorth21,110133229311356561
22,Apr 3,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 3Replying to @Charlton123112,110134862655824211
23,Apr 3,Charlton123,Charlton123@Charlton123·Apr 3Replying to @starofthenorth2What does that make Trump supporters? CULTISTS? They only believe Donald1,110134977867092234
24,Apr 3,starofthenorth2,Starofthenorth2  Magat@starofthenorth2·Apr 3Replying to @Charlton123No it makes us smarter than you because we can see through the lies were you just believe them ,110135058299420547
25,Apr 2,jesstertruth,"Jesster searching for truth@jesstertruth·Apr 2Replying to @Charlton123, @janetmg, and 2 moreSame as it ever was.https://foreignpolicy.com/2018/12/21/how-russian-money-helped-save-trumps-business/How Russian Money Helped Save Trump’s BusinessAfter his financial disasters two decades ago, no U.S. bank would touch him. Then foreign money began flowing in.Foreign Policy2",110130709284374101
26,Apr 4,Hockystick,"hockey stick@Hockystick·Apr 4Replying to @Charlton123, @janetmg, and 2 moreIt’s fine for biden. Laws are meaningless thanks to him. Your post is just as meaningless111",110138595683187531
27,Apr 4,Charlton123,"Charlton123@Charlton123·Apr 4Replying to @Hockystick, @janetmg, and 2 morebit like you to Trump1",110138903685617916
28,Apr 4,Hockystick,"hockey stick@Hockystick·Apr 4Replying to @Charlton123, @Hockystick, and 3 more?21",110138958916169713
